Last Updated,PV1 Current (A),PV2 Current (A),PV1 Voltage (V),PV2 Voltage (V),Output Current (A),Network Voltage (V),Power Now (W),Exported Power (W),PV1 Input Power (W),PV2 Input Power (W),FAC1 (HZ),Exported energy (kWh),Grid Consumption (kWh),Today's Energy (kWh),Total Energy (kWh)
2018/7/2 4:15:34,0,0,0,83.6,0.4,244.8,0,0,5,0,49.99,0,0,0,1235
2018/7/2 4:20:34,0,0,0,123.6,0.4,245.1,0,0,5,0,0,0,0,1235,
2018/7/2 4:25:34,0,0,0,157.7,0.4,245,0,0,5,0,49.97,0,0,0,1235
2018/7/2 4:30:34,0,0,0,224,0.4,245.1,0,0,5,0,49.96,0,0,0,1235
2018/7/2 4:35:34,0,0.1,0,204,0.6,244.5,13,0,0,28,49.94,0,0,0,1235
2018/7/2 4:40:34,0,0.1,0,206.9,0.7,244.9,17,0,0,32,0,0,0,1235,
2018/7/2 4:45:34,0,0.1,0,233.4,0.7,244.8,22,0,0,39,49.9,0,0,0,1235
2018/7/2 4:50:34,0,0.2,0,226.9,0.7,246.6,29,0,0,46,49.9,0,0,0,1235
2018/7/2 4:55:34,0,0.2,0,232.4,0.7,245.2,30,0,0,48,49.91,0,0,0,1235
2018/7/2 5:00:35,0,0.2,0,235.6,0.7,245.3,33,0,0,50,49.9,0,0,0,1235
2018/7/2 5:05:34,0,0.2,0,237.7,0.7,244.6,35,0,0,53,49.91,0,0,0,1235
2018/7/2 5:10:34,0,0.2,0,239.7,0.7,244.6,42,0,0,60,49.91,0,0,0,1235
2018/7/2 5:15:34,0,0.2,0,237.2,0.7,244.7,46,0,0,65,49.89,0,0,0,1235
